,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
110,0,3,3.22,Mawlana Bhashani Science & Technology University (MBSTU),2,2,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,Job Security,Software Development
111,0,3,3.85,Mawlana Bhashani Science & Technology University (MBSTU),3,3,2,1,2,3,3,1,1,2,2,1,1,1,1,1,0,1,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Abroad"
112,0,4,3.41,Mawlana Bhashani Science & Technology University (MBSTU),2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Social Acceptance,Job Security,Job Environment","Bank Job,BCS,Govt Job,Abroad"
113,0,4,3.3244034707158354,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,3,3,3,2,2,3,2,2,2,1,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Business"
114,0,3,3.0,Mawlana Bhashani Science & Technology University (MBSTU),1,1,2,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,Job Environment,Software Development
115,0,4,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,1,1,2,3,1,3,1,2,1,2,1,2,1,1,0,2,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Abroad"
116,0,4,3.3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,3,2,2,2,2,1,2,2,1,2,1,1,1,2,0,2,"Salary,Job Environment",Software Development
117,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,3,"Job Environment,Salary","Software Development,Data Analysis,ML/AI Engineer"
118,0,4,3.4,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,0,1,2,2,1,2,2,1,2,2,2,2,2,1,1,0,2,flaxible Work Life Balanced,ML/AI Engineer
119,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,2,2,2,2,3,3,2,1,1,1,1,2,1,1,0,3,"Job Environment,Salary","Database Administration,Data Analysis"
120,0,4,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,0,1,"Social Acceptance,Job Security,flaxible Work Life Balanced","Bank Job,BCS,Govt Job"
121,0,3,3.5,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,Job Security,Govt Job
122,0,4,3.24,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,0,5,"Job Environment,Salary,flaxible Work Life Balanced","ML/AI Engineer,Abroad"
123,0,4,2.85,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,3,3,1,0,0,1,1,1,1,1,0,0,0,0,0,1,flaxible Work Life Balanced,"Bank Job,Business,Govt Job"
124,0,3,3.39,Patuakhali  Science and technology university (PSTU),2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Abroad"
125,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,2,2,3,2,2,2,1,3,0,1,1,1,1,1,1,0,2,"Job Security,Salary",Software Development
126,0,4,2.74,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,1,1,2,3,2,1,1,1,1,0,1,1,1,2,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
127,0,4,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,2,1,2,3,1,2,3,2,1,1,2,1,0,3,"Job Security,Job Environment,Salary","Software Development,Database Administration,Data Analysis,Gaming"
128,0,3,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,2,"Job Environment,Salary",Software Development
129,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,3,2,2,3,2,1,2,1,2,2,2,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Cyber Security,Business"
130,0,4,2.8,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
131,0,4,3.42,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,1,2,2,2,3,3,2,2,2,1,1,1,1,1,4,"Social Acceptance,Job Environment,Salary","Software Development,Data Analysis"
132,1,4,3.43,Jahangirnagar University (JU),2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,0,4,"Job Environment,Salary","Software Development,Data Analysis,Management"
133,0,4,3.5,Jahangirnagar University (JU),2,3,2,1,2,2,3,3,3,3,3,2,2,2,2,1,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Gaming"
134,1,4,3.83,Jahangirnagar University (JU),2,3,3,2,2,2,2,2,2,2,1,2,1,1,1,1,0,5,"Job Environment,Salary",Software Development
135,0,4,3.6,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,3,1,2,2,3,3,1,2,2,3,2,2,1,2,0,4,"Job Environment,Salary","Networking,Data Analysis,ML/AI Engineer"
136,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,2,2,3,2,3,1,1,1,1,0,2,0,2,0,2,Salary,"Software Development,Data Analysis,ML/AI Engineer,Business"
137,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,1,1,0,2,2,1,1,2,2,0,1,1,0,0,0,0,"Social Acceptance,flaxible Work Life Balanced","Business,Govt Job"
138,0,3,3.25,University of Rajshahi (RU),2,2,1,1,2,3,3,1,2,1,2,2,1,1,1,1,0,2,"Job Environment,Salary","Software Development,Database Administration"
139,0,4,2.87,University of Rajshahi (RU),2,1,2,1,1,2,2,2,1,1,1,2,0,1,1,1,0,1,Social Acceptance,"Bank Job,BCS,Govt Job"
140,0,3,3.82,University of Rajshahi (RU),3,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,0,1,"Job Security,Salary","Researcher,Abroad"
141,1,3,3.46,University of Rajshahi (RU),1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,0,0,Social Acceptance,Other
142,0,3,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,0,4,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Bank Job,BCS,Govt Job"
143,0,4,2.75,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,3,2,2,2,1,2,2,2,2,2,1,1,1,2,0,4,Job Security,"BCS,Govt Job"
144,0,4,3.58,Jahangirnagar University (JU),3,3,3,3,2,2,2,2,2,1,1,2,1,1,1,2,1,2,"Job Security,Salary,flaxible Work Life Balanced","Cyber Security,Researcher"
145,0,4,3.49,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,2,3,1,3,2,2,1,1,1,1,1,0,6,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Database Administration,Govt Job"
146,0,4,3.55,University of Dhaka (DU),3,3,3,3,3,3,3,2,3,1,0,1,1,2,0,2,1,3,"Salary,Job Environment",Software Development
147,0,4,3.85,University of Dhaka (DU),2,2,2,3,1,1,2,2,1,1,1,2,1,2,0,3,3,0,"Salary,flaxible Work Life Balanced",Abroad
148,0,4,3.11,University of Dhaka (DU),3,3,3,2,0,3,3,2,3,0,2,1,1,1,1,1,0,4,Social Acceptance,"Software Development,Database Administration"
149,1,4,3.5,University of Dhaka (DU),2,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,Job Security,"Bank Job,BCS,Govt Job"
150,0,4,2.98,University of Dhaka (DU),3,3,3,2,3,3,3,2,3,2,2,2,1,2,2,1,0,5,"Social Acceptance,Job Environment","Software Development,Database Administration"
151,0,4,3.8,Bangladesh University of Engineering & Technology (BUET),3,3,3,3,2,2,1,3,2,2,2,2,1,3,1,3,3,1,"Salary,flaxible Work Life Balanced","Researcher,Abroad"
152,0,4,3.5,Bangladesh University of Engineering & Technology (BUET),3,3,3,1,3,3,3,2,3,2,2,1,1,1,1,1,1,5,Job Security,"Software Development,Database Administration,Data Analysis"
153,0,4,3.1,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,0,5,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Gaming"
154,0,4,2.89,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,2,3,2,1,2,2,2,2,1,1,1,1,0,6,"Salary,Job Environment",Software Development
155,0,4,2.92,Patuakhali  Science and technology university (PSTU),2,3,2,3,2,2,3,2,3,2,2,1,1,1,1,1,0,5,"Salary,Job Environment",Software Development
156,0,4,3.08,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,2,2,3,2,2,2,2,3,2,2,2,1,2,2,2,0,5,"Social Acceptance,Job Security,flaxible Work Life Balanced","Software Development,Management,Teaching,Govt Job"
157,0,4,2.7,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,0,2,Social Acceptance,BCS
158,1,4,3.39,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,2,2,2,2,1,2,3,1,2,2,0,2,1,0,0,4,"Job Environment,Salary","Software Development,Business,Abroad"
159,0,4,2.76,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,2,2,2,3,2,2,1,1,1,2,1,1,1,4,"Social Acceptance,Job Security,Salary","Software Development,Data Analysis,Abroad"
160,0,4,2.95,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,3,2,3,2,3,2,2,3,1,1,1,1,2,1,2,1,4,Salary,"Software Development,Abroad"
161,0,4,3.0,Patuakhali  Science and technology university (PSTU),2,3,2,3,2,2,3,2,3,1,2,2,1,2,2,1,2,6,"Job Environment,Salary","Database Administration,Data Analysis,ML/AI Engineer,Abroad,Other"
162,0,4,3.83,University of Rajshahi (RU),2,1,3,2,1,2,2,3,1,1,1,1,1,3,1,3,3,0,"Job Environment,flaxible Work Life Balanced",Abroad
163,0,4,3.18,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,1,1,2,2,3,2,1,2,2,3,2,2,1,1,0,4,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Gaming"
164,0,4,3.34,Patuakhali  Science and technology university (PSTU),1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,3,"Social Acceptance,flaxible Work Life Balanced",BCS
165,0,4,3.38,University of Chittagong (CU),3,3,3,1,3,3,3,2,3,1,1,1,2,2,1,1,0,5,Social Acceptance,"Software Development,Database Administration"
166,0,4,3.55,University of Chittagong (CU),2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,0,0,Job Security,"Bank Job,BCS,Govt Job"
167,0,4,3.92,University of Chittagong (CU),3,3,3,3,2,2,1,2,1,2,3,1,1,3,1,3,2,1,flaxible Work Life Balanced,Abroad
168,0,4,2.92,University of Chittagong (CU),3,3,3,2,3,3,3,2,3,2,3,2,1,2,2,1,0,5,Job Security,"Software Development,Database Administration"
169,0,4,3.05,Rajshahi University of Engineering & Technology (RUET),1,3,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,4,"Salary,Job Environment",Software Development
170,0,4,3.78,Rajshahi University of Engineering & Technology (RUET),2,2,2,1,2,2,2,2,3,2,1,1,1,1,1,1,1,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Abroad"
171,0,4,3.01,Rajshahi University of Engineering & Technology (RUET),2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,0,4,Job Security,Bank Job
172,0,4,3.12,University of Chittagong (CU),1,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,1,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching"
173,0,4,2.9,University of Chittagong (CU),2,3,3,3,2,2,3,3,3,1,3,3,2,3,2,1,1,5,"Salary,Job Environment",Software Development
174,0,4,3.3244034707158354,University of Chittagong (CU),1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Job Security,flaxible Work Life Balanced",Govt Job
175,1,4,3.66,Patuakhali  Science and technology university (PSTU),2,2,3,2,2,2,2,3,2,1,1,2,2,2,1,1,0,3,Job Environment,"Software Development,Cyber Security,ML/AI Engineer,Abroad"
176,0,4,3.21,Rajshahi University of Engineering & Technology (RUET),2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,0,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching,Business"
177,0,4,3.66,Patuakhali  Science and technology university (PSTU),2,2,2,1,2,2,2,1,3,2,1,1,1,1,1,1,0,3,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Researcher,Abroad"
178,1,3,3.3244034707158354,Patuakhali  Science and technology university (PSTU),2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,0,2,"Social Acceptance,Job Security","Teaching,BCS,Govt Job"
179,1,4,3.8,Hajee Mohammad Danesh Science & Technology University (HMDSTU),3,2,3,3,2,2,2,1,1,2,2,2,2,1,1,1,1,4,"Social Acceptance,Job Security","Teaching,Bank Job"
180,0,4,3.13,Hajee Mohammad Danesh Science & Technology University (HMDSTU),2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,Other Factor,"Software Development,Other"
181,1,4,3.61,University of Chittagong (CU),3,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Social Acceptance,"Bank Job,Govt Job"
182,0,2,3.65,Hajee Mohammad Danesh Science & Technology University (HMDSTU),1,2,3,2,2,2,2,2,2,1,1,3,1,1,1,1,0,3,"Social Acceptance,Job Environment,Salary",Software Development
183,1,4,3.21,Hajee Mohammad Danesh Science & Technology University (HMDSTU),3,3,3,2,2,3,2,3,3,2,1,2,1,2,1,1,0,5,"Job Environment,Salary","Software Development,Data Analysis"
184,0,3,3.54,Hajee Mohammad Danesh Science & Technology University (HMDSTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Factor,Other
185,0,3,3.5,"Independent University, Bangladesh (IUB)",1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Management,Business"
186,0,4,1.75,"Independent University, Bangladesh (IUB)",2,2,3,2,2,2,1,1,2,1,1,1,1,1,1,1,0,0,"Salary,Job Environment",Software Development
187,0,3,3.37,University of Chittagong (CU),2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,"Social Acceptance,Job Security,flaxible Work Life Balanced","Management,Bank Job,BCS,Govt Job"
188,1,4,3.92,"Independent University, Bangladesh (IUB)",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,"Job Environment,flaxible Work Life Balanced","Cyber Security,Abroad"
189,0,4,3.43,"Independent University, Bangladesh (IUB)",1,1,2,1,1,2,2,1,1,1,1,3,2,1,2,1,0,1,Salary,Networking
190,0,4,3.72,"Independent University, Bangladesh (IUB)",3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,2,4,"Job Environment,Salary","Data Analysis,ML/AI Engineer,Abroad"
191,0,4,3.67,"Independent University, Bangladesh (IUB)",2,3,3,2,2,3,2,1,2,1,1,1,1,1,1,3,0,0,"Salary,Job Environment",Software Development
192,1,4,3.3,University of Rajshahi (RU),2,3,3,2,2,3,2,1,3,1,1,1,1,1,1,1,0,1,Salary,Software Development
193,0,4,3.43,University of Rajshahi (RU),2,2,2,2,2,2,3,2,3,2,3,3,2,2,1,2,0,5,Salary,Software Development
194,1,4,3.49,University of Rajshahi (RU),3,3,2,2,2,3,3,2,3,2,3,3,2,2,0,1,0,5,"Job Environment,Salary","Software Development,Cyber Security,Business"
195,1,2,2.83,Jahangirnagar University (JU),2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,"Job Security,Job Environment,flaxible Work Life Balanced","Cyber Security,Business,Abroad"
196,0,2,2.98,"Independent University, Bangladesh (IUB)",2,2,3,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1,"Job Security,Job Environment","Software Development,Cyber Security,Data Analysis,Management"
197,0,3,3.2,University of Rajshahi (RU),2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,"Social Acceptance,Job Security","Software Development,Networking,Cyber Security,Data Analysis"
198,0,4,3.16,University of Rajshahi (RU),1,2,1,1,2,2,1,3,1,1,2,2,2,1,1,2,1,1,"Social Acceptance,Job Security","Software Development,Cyber Security,Data Analysis"
199,0,4,2.92,Jahangirnagar University (JU),2,2,2,3,2,2,2,2,2,1,2,1,1,1,1,3,2,2,Social Acceptance,Software Development
200,0,4,3.22,Jahangirnagar University (JU),3,2,2,2,1,2,2,3,2,2,1,1,2,2,1,3,3,1,flaxible Work Life Balanced,Abroad
201,1,4,1.6,Jahangirnagar University (JU),2,2,2,1,1,1,1,3,1,1,1,1,1,2,1,1,0,2,Job Security,ML/AI Engineer
202,0,4,3.41,University of Chittagong (CU),2,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,"Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
203,1,4,3.5,Faridpur Engineering College,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,0,2,"Salary,Job Environment
","Software Development,Abroad"
204,0,4,0.0,United International University (UIU),2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,Salary,Software Development
205,0,4,3.4,Faridpur Engineering College,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,3,"Salary,flaxible Work Life Balanced","Software Development,Data Analysis"
206,0,4,3.17,Comilla University (CoU),2,2,2,2,1,1,1,2,2,1,2,1,2,0,1,1,1,1,Social Acceptance,"Bank Job,Govt Job"
207,0,4,3.58,Comilla University (CoU),2,2,2,3,1,2,2,1,2,1,2,1,1,1,1,1,0,6,"Salary,Job Environment",Software Development
208,1,4,3.79,Comilla University (CoU),3,3,3,3,2,2,1,3,1,2,1,1,1,2,1,2,2,3,"Salary,flaxible Work Life Balanced",Teaching
209,1,4,3.72,Comilla University (CoU),2,2,3,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching"
210,1,4,3.59,Comilla University (CoU),2,3,2,2,2,2,3,1,1,2,1,0,2,1,0,2,1,3,"Job Environment,Salary,flaxible Work Life Balanced","Database Administration,Teaching,Abroad"
211,1,4,3.6,Comilla University (CoU),1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,0,0,flaxible Work Life Balanced,Business
212,0,3,3.6,Comilla University (CoU),2,1,2,2,1,2,2,2,1,1,1,1,1,1,0,0,0,2,Social Acceptance,"Software Development,Data Analysis,ML/AI Engineer,Abroad"
213,1,4,3.47,Comilla University (CoU),1,2,2,2,2,2,2,1,2,1,1,1,1,0,1,0,0,3,"Job Environment,Salary",Software Development
214,1,3,3.5,Comilla University (CoU),3,2,3,3,1,2,1,2,1,1,1,1,1,1,1,2,1,2,"Salary,flaxible Work Life Balanced","Business,Abroad"
215,0,4,3.2,Daffodil International University (DIU),2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4,Job Environment,Software Development
216,0,4,3.64,Comilla University (CoU),2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,0,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
217,0,4,3.7,Comilla University (CoU),2,3,2,2,2,1,1,1,2,1,1,1,1,1,0,1,0,3,Social Acceptance,Abroad
218,0,4,3.3,Northern University Bangladesh (NUB),2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,0,3,Job Security,Govt Job
219,1,4,3.79,Comilla University (CoU),2,3,3,3,2,3,2,2,3,2,1,1,1,1,1,1,0,2,"Job Environment,Salary",Software Development
220,0,4,3.09,American International University-Bangladesh (AIUB),1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
